username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
AJ+,110396781,2017-03-14 08:10:06,The U.S. bid to host the Olympics could be lost thanks to President Trump's travel ban. Here are 4 more potential s... https://t.co/a7Lc6ndjsL,442,None,505736,324,0.2333333333333333,0.5666666666666667
Burnie Burns,14503124,2017-03-13 22:10:30,"Matching donations made during live RT Podcast up to $5000. Help get athletes to the Special Olympics Winter Games!
https://t.co/pD4FeFzUD1",332,None,513828,909,0.29139610389610393,0.5357142857142857
Olympics,52422878,2017-03-14 17:04:05,.@gymnastics : phenomenal domination of @nadiacomaneci10 and @Simone_Biles . Happy birthday Simone! https://t.co/NuvULbB8JI,192,None,4966979,4023,0.75,0.75
Steve Dangle Glynn,24623145,2017-03-14 23:28:07,"Places the NHL thinks hockey works: Every suburb of Phoenix.
Places the NHL doesn't think hockey works: The Olympics.",210,None,66534,3953,0.0,0.0
Olympics,52422878,2017-03-13 07:27:03,"333 days, 3 hours, 33 minutes to @PyeongChang2018 [?] https://t.co/wEW8WuPhMH",484,None,4966979,4023,0.0,0.0
Tony ESTANGUET,466742492,2017-03-13 09:31:21,In 6 months @Paris2024 wants to be selected as host city. Until Lima we want to be the best &amp; trustworthy partner f... https://t.co/UPlJeXO6yt,138,None,71437,831,0.6,0.2
SportsCenter,26257166,2017-03-13 04:18:41,"8.5 hours. EIGHT OT.
A 217-minute Norwegian League playoff game is believed to be longest game in hockey history. https://t.co/2ehqOU8D1J",799,None,31391038,1676,-0.26666666666666666,0.26666666666666666
WWE UK,2194683961,2017-03-14 12:04:14,The Celtic Warrior @WWESheamus has a special message for the @SOIreland team heading to the World Winter Olympics!... https://t.co/Am37HCKTgU,76,None,115490,967,0.44642857142857145,0.5714285714285714
Jagat Prakash Nadda,2990611686,2017-03-13 15:47:55,Happy to have celebrated a wonderful Holi with intellectual disabled players from Special Olympics Bharat. https://t.co/e1gql7SD0n,96,None,98637,37,0.4345238095238095,0.6702380952380952
Olympics,52422878,2017-03-13 17:08:06,Mother's strength   #MotivationMonday @danavollmer @fina1908 https://t.co/Qx4XwbKLkE,57,MotivationMonday,4966979,4023,0.0,0.0
ANI,355989081,2017-03-13 14:57:05,Delhi: Union minister Jagat Prakash Nadda meets special Olympics team before Special Olympics World Winter Games 20... https://t.co/tv0RJQQmFE,41,None,1613035,0,0.35714285714285715,0.5714285714285714
CBC News,6433472,2017-03-14 00:22:55,"Ed Whitlock, 1st septuagenarian to run marathon in under 3 hours, dead at 86 https://t.co/2AIX79Wk1B https://t.co/oaKAQCMfPk",66,None,2236039,2688,-0.2,0.4
Keating Thomas,145950327,2017-03-13 04:28:12,"We live in a world where Bristol Palin advocates abstinence, McDonald's sponsors the Olympics &amp; Steve Bannon makes... https://t.co/pSukAbAPJ6",90,None,19917,995,0.13636363636363635,0.5
CBC News Alerts,19038934,2017-03-13 20:27:23,"Ed Whitlock, 1st septuagenarian to run marathon in under 3 hours, dead at 86: https://t.co/40k4mpf5CN",53,None,966051,430,-0.2,0.4
The New York Times,807095,2017-03-13 03:52:13,Willing to Blow the Whistle on Doping? New Legal Aid Group Wants to Help https://t.co/Igp5SBB1EV,49,None,34401607,909,0.1965909090909091,0.37613636363636366
Tom Power,22658254,2017-03-13 01:10:06,When I was in grade 11 we were given the day off school to watch Brad Gushue curl at the Olympics. This feels like that all over again.,47,None,32235,3162,0.0,0.0
E! News,2883841,2017-03-13 02:02:01,"Simone Biles clapped back in the best way after a troll requested $1,000 from her for ""losing the Olympics.""... https://t.co/tlXiySt3H4",17,None,10896786,121275,0.5,0.15
