username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Steve Silberman,18655567,2017-05-20 15:56:42,The candidate who mocked a disabled reporter is now slashing $12M from Special Olympics programs as POTUS.... https://t.co/Bwi5kRx8aa,378,None,78311,7315,0.07857142857142857,0.4357142857142857
Olympics,52422878,2017-05-20 12:56:04,She was just determined to make it to the finish line. Happy birthday Gabriela Andersen-Schiess!   @iaaforg https://t.co/lV0LWwhNCU,445,None,5255168,4532,1.0,1.0
Shannon Coulter,7019512,2017-05-21 17:03:56,"$100 million for entrepreneurs while same team cuts meals for seniors, after school programs, Special Olympics. I want to scream.",188,None,58008,19843,0.17857142857142858,0.3482142857142857
Deadspin,13213122,2017-05-21 16:55:03,"Rio Olympics champions find their medals are falling apart, much like the venues at which they won them https://t.co/08snGLThrd",77,None,1058084,1552,0.2,0.2
Patricia Zengerle,89220865,2017-05-20 15:23:23,Who slashes Special Olympics? It's like going after Meals-on-Wheels. https://t.co/hwRYJGCCZ3,255,None,8496,2343,0.35714285714285715,0.5714285714285714
chika,93726725,2017-05-20 02:35:53,me trying to think of clever phrases so i can participate in the 2017 Caption Olympics https://t.co/pvhB1XvVSd,1438,None,10405,794,0.16666666666666666,0.8333333333333334
Yahoo News,7309052,2017-05-20 16:00:52,Defective Rio Olympics medals falling apart; officials promise they will be repaired or replaced... https://t.co/Z6zO1seb9b,99,None,1123853,2384,0.0,0.0
"People's Daily,China",303862998,2017-05-20 12:58:15,Some 130 medals won at the Rio Olympics have been returned to organizers because they have rusted or developed blac... https://t.co/A7DD8lf3UV,84,None,3456228,5281,0.1,0.3
The Associated Press,51241574,2017-05-21 02:00:05,Harsh sentences for Islamic State sympathizers in Brazil raise questions about law passed before 2016 Rio Olympics. https://t.co/D0fzp99YIh,53,None,10771803,7251,-0.2,0.7
Reuters Top News,1652541,2017-05-20 05:41:16,Olympics: More than 100 rusted or defective medals returned https://t.co/3RRA2BKda5 https://t.co/XVVJ7lcZFf,130,None,17763384,1050,0.5,0.5
TIME,14293310,2017-05-21 20:00:24,Meet the 17-year-old figure skater who made history and is a favorite for the 2018 Olympics https://t.co/ad56zsNVaZ https://t.co/jSzCSs3i7M,36,None,13974205,846,0.5,1.0
ANI,355989081,2017-05-21 07:53:39,Those who are not qualified should not be sent: Mary Kom on 2 doctors who travelled to Rio Olympics without qualifi... https://t.co/7LA7RkTYcD,60,None,1960964,0,0.0,0.0
Around The NFL,581971753,2017-05-21 17:45:25,Lions rookie CB Teez Tabor on speed criticism: 'I'm trying out for the NFL. Not the Olympics'... https://t.co/exsXm3p9TN,35,None,569114,625,0.0,0.0
Olympic Channel,3163717636,2017-05-21 10:52:04,"All you need to know about surfboards...

#surfing @ISAsurfing @Olympics @Tokyo2020 https://t.co/3jEqzdK7hS",58,surfing,283716,4774,0.0,0.0
